
| Class Name                      | UUID                                    |
|----------------------------------|------------------------------------------|
| AccessControl                   | 000000DA-0000-1000-8000-0026BB765291    |
| AccessoryInformation            | 0000003E-0000-1000-8000-0026BB765291    |
| AirPurifier                     | 000000BB-0000-1000-8000-0026BB765291    |
| AirQualitySensor                | 0000008D-0000-1000-8000-0026BB765291    |
| AssetUpdate                     | 00000267-0000-1000-8000-0026BB765291    |
| Assistant                       | 0000026A-0000-1000-8000-0026BB765291    |
| AudioStreamManagement           | 00000127-0000-1000-8000-0026BB765291    |
| Battery                         | 00000096-0000-1000-8000-0026BB765291    |
| CameraControl                   | 00000111-0000-1000-8000-0026BB765291    |
| CameraRTPStreamManagement       | 00000110-0000-1000-8000-0026BB765291    |
| CarbonDioxideSensor             | 00000097-0000-1000-8000-0026BB765291    |
| CarbonMonoxideSensor            | 0000007F-0000-1000-8000-0026BB765291    |
| ContactSensor                   | 00000080-0000-1000-8000-0026BB765291    |
| DataStreamTransportManagement   | 00000129-0000-1000-8000-0026BB765291    |
| Diagnostics                     | 00000237-0000-1000-8000-0026BB765291    |
| Door                            | 00000081-0000-1000-8000-0026BB765291    |
| Doorbell                        | 00000121-0000-1000-8000-0026BB765291    |
| Fan                             | 00000040-0000-1000-8000-0026BB765291    |
| Fanv2                           | 000000B7-0000-1000-8000-0026BB765291    |
| Faucet                          | 000000D7-0000-1000-8000-0026BB765291    |
| FilterMaintenance               | 000000BA-0000-1000-8000-0026BB765291    |
| GarageDoorOpener                | 00000041-0000-1000-8000-0026BB765291    |
| HeaterCooler                    | 000000BC-0000-1000-8000-0026BB765291    |
| HumidifierDehumidifier          | 000000BD-0000-1000-8000-0026BB765291    |
| HumiditySensor                  | 00000082-0000-1000-8000-0026BB765291    |
| InputSource                     | 000000D9-0000-1000-8000-0026BB765291    |
| IrrigationSystem                | 000000CF-0000-1000-8000-0026BB765291    |
| LeakSensor                      | 00000083-0000-1000-8000-0026BB765291    |
| LightSensor                     | 00000084-0000-1000-8000-0026BB765291    |
| Lightbulb                       | 00000043-0000-1000-8000-0026BB765291    |
| LockManagement                  | 00000044-0000-1000-8000-0026BB765291    |
| LockMechanism                   | 00000045-0000-1000-8000-0026BB765291    |
| Microphone                      | 00000112-0000-1000-8000-0026BB765291    |
| MotionSensor                    | 00000085-0000-1000-8000-0026BB765291    |
| OccupancySensor                 | 00000086-0000-1000-8000-0026BB765291    |
| Outlet                          | 00000047-0000-1000-8000-0026BB765291    |
| Pairing                         | 00000055-0000-1000-8000-0026BB765291    |
| ProtocolInformation             | 000000A2-0000-1000-8000-0026BB765291    |
| RelativeHumiditySensor          | 00000082-0000-1000-8000-0026BB765291    |
| SecuritySystem                  | 0000007E-0000-1000-8000-0026BB765291    |
| ServiceLabel                    | 000000CC-0000-1000-8000-0026BB765291    |
| Siri                           | 00000133-0000-1000-8000-0026BB765291    |
| Slat                            | 000000B9-0000-1000-8000-0026BB765291    |
| SmokeSensor                     | 00000087-0000-1000-8000-0026BB765291    |
| Speaker                         | 00000113-0000-1000-8000-0026BB765291    |
| StatefulProgrammableSwitch      | 00000088-0000-1000-8000-0026BB765291    |
| StatelessProgrammableSwitch     | 00000089-0000-1000-8000-0026BB765291    |
| Switch                          | 00000049-0000-1000-8000-0026BB765291    |
| TargetControl                   | 00000125-0000-1000-8000-0026BB765291    |
| TargetControlManagement         | 00000124-0000-1000-8000-0026BB765291    |
| Television                      | 000000D8-0000-1000-8000-0026BB765291    |
| TelevisionSpeaker               | 00000113-0000-1000-8000-0026BB765291    |
| TemperatureSensor               | 0000008A-0000-1000-8000-0026BB765291    |
| Thermostat                      | 0000004A-0000-1000-8000-0026BB765291    |
| Valve                           | 000000D0-0000-1000-8000-0026BB765291    |
| Window                          | 0000008B-0000-1000-8000-0026BB765291    |
| WindowCovering                  | 0000008C-0000-1000-8000-0026BB765291    |

